ID,STOREID,PRODUCTID,QUANTITY,UNITPRICE,SUBTOTAL
1,9,21,2,6,12
2,8,38,2,6,12
3,5,15,2,6,12
3,1,14,1,5,5
4,3,26,2,4,8
4,3,20,1,5,5
4,8,27,2,4,8
4,1,3,2,5,10
5,3,1,1,4,4
6,7,11,1,5,5
7,3,5,2,6,12
8,2,6,1,3,3
9,9,6,1,3,3
10,5,31,2,6,12
11,8,13,1,5,5
11,2,38,2,6,12
12,8,6,2,3,6
12,9,16,2,6,12
13,8,11,2,5,10
14,10,6,2,3,6
15,2,33,2,4,8
15,6,25,2,6,12
16,4,38,1,6,6
17,10,17,2,7,14
18,9,21,1,6,6
18,10,20,1,5,5
19,2,25,1,6,6
19,4,38,2,6,12
20,10,38,2,6,12
21,3,11,1,5,5
22,1,10,1,5,5
23,3,33,2,4,8
24,2,11,2,5,10
24,8,20,2,5,10
25,6,14,2,5,10
26,6,26,1,4,4
27,3,13,1,5,5
27,3,36,2,4,8
28,8,22,2,8,16
29,3,28,2,5,10
30,9,9,1,5,5
31,7,33,1,4,4
31,10,15,2,6,12
31,2,14,2,5,10
31,2,12,1,5,5
32,1,16,1,6,6
32,2,10,1,5,5
33,6,35,1,5,5
33,5,12,2,5,10
34,5,8,2,5,10
35,9,14,1,5,5
36,7,8,2,5,10
37,10,27,2,4,8
38,2,11,2,5,10
39,5,12,2,5,10
40,7,19,1,6,6
41,2,9,2,5,10
42,5,3,1,5,5
43,2,27,2,4,8
44,8,29,1,6,6
45,1,38,2,6,12
46,7,36,1,4,4
46,4,5,1,6,6
46,10,17,1,7,7
47,2,30,2,6,12
48,7,23,2,6,12
48,9,27,2,4,8
49,9,35,2,5,10
50,3,7,2,3,6
51,10,37,2,4,8
52,4,27,2,4,8
52,2,2,1,6,6
53,7,10,1,5,5
54,8,1,2,4,8
55,6,27,1,4,4
56,6,28,2,5,10
56,4,36,1,4,4
57,3,32,2,3,6
57,4,33,2,4,8
58,4,29,1,6,6
59,10,5,1,6,6
60,1,15,1,6,6
61,3,10,1,5,5
61,5,9,1,5,5
61,4,32,2,3,6
62,5,29,1,6,6
62,9,27,2,4,8
62,8,13,2,5,10
63,1,4,1,5,5
64,4,2,2,6,12
65,5,33,2,4,8
66,5,3,1,5,5
67,9,34,1,5,5
67,5,20,1,5,5
68,4,19,2,6,12
68,2,12,2,5,10
69,8,30,1,6,6
69,1,8,1,5,5
70,10,13,2,5,10
71,1,38,1,6,6
71,1,3,1,5,5
71,9,12,2,5,10
72,9,29,1,6,6
73,7,9,2,5,10
74,7,4,2,5,10
75,3,21,2,6,12
75,9,22,2,8,16
76,7,6,1,3,3
77,1,36,1,4,4
77,9,15,2,6,12
78,5,15,2,6,12
78,7,20,2,5,10
79,4,16,1,6,6
80,8,36,2,4,8
81,4,10,2,5,10
82,1,29,1,6,6
82,1,6,2,3,6
83,8,4,1,5,5
83,8,6,2,3,6
83,10,38,2,6,12
84,3,7,2,3,6
85,3,9,1,5,5
86,1,1,1,4,4
87,8,28,2,5,10
88,9,24,2,8,16
88,8,24,2,8,16
88,7,34,1,5,5
88,10,21,1,6,6
89,5,28,1,5,5
90,9,7,1,3,3
90,7,31,1,6,6
91,4,26,2,4,8
92,7,13,1,5,5
93,4,9,2,5,10
93,10,16,1,6,6
94,3,11,2,5,10
95,5,22,1,8,8
96,1,19,1,6,6
97,1,15,1,6,6
97,9,5,1,6,6
98,6,2,1,6,6
98,5,22,2,8,16
99,6,23,1,6,6
100,6,7,1,3,3
101,4,24,2,8,16
102,10,3,1,5,5
103,4,18,1,8,8
103,1,5,1,6,6
104,6,16,1,6,6
105,10,29,2,6,12
106,2,20,2,5,10
107,1,9,1,5,5
107,6,7,2,3,6
108,6,26,1,4,4
108,8,7,1,3,3
109,6,26,2,4,8
110,3,20,2,5,10
111,2,24,2,8,16
112,7,11,2,5,10
112,2,3,1,5,5
113,1,34,2,5,10
113,1,38,2,6,12
113,5,31,1,6,6
113,3,9,1,5,5
114,10,34,1,5,5
115,7,9,2,5,10
116,7,24,1,8,8
117,9,8,1,5,5
117,9,24,1,8,8
118,2,2,2,6,12
118,9,4,2,5,10
119,9,36,2,4,8
120,6,38,1,6,6
121,7,18,1,8,8
122,6,14,1,5,5
123,10,38,2,6,12
124,4,1,2,4,8
124,7,27,2,4,8
125,10,16,1,6,6
126,4,20,2,5,10
127,8,21,2,6,12
127,8,9,2,5,10
128,2,34,2,5,10
128,10,22,1,8,8
128,7,3,2,5,10
129,10,7,1,3,3
130,9,29,1,6,6
131,4,6,2,3,6
132,8,12,2,5,10
133,1,25,1,6,6
133,6,21,1,6,6
134,6,31,2,6,12
135,8,32,1,3,3
136,7,12,2,5,10
136,7,4,1,5,5
136,6,35,1,5,5
137,5,36,2,4,8
138,9,32,1,3,3
139,3,12,2,5,10
139,10,26,1,4,4
140,1,26,1,4,4
141,3,28,1,5,5
141,8,30,1,6,6
141,6,25,1,6,6
142,9,6,2,3,6
143,3,3,2,5,10
144,8,23,2,6,12
145,1,17,1,7,7
146,9,31,1,6,6
147,10,34,1,5,5
147,8,24,2,8,16
148,9,22,2,8,16
148,4,16,2,6,12
148,9,34,1,5,5
149,6,11,1,5,5
150,8,4,2,5,10
151,10,26,2,4,8
152,9,29,1,6,6
153,8,26,1,4,4
154,2,37,2,4,8
155,3,11,1,5,5
156,9,4,1,5,5
156,6,8,1,5,5
156,3,10,2,5,10
157,4,8,1,5,5
158,1,4,1,5,5
159,4,32,1,3,3
159,7,6,1,3,3
160,10,7,1,3,3
161,9,11,2,5,10
162,10,30,2,6,12
163,1,6,2,3,6
164,2,37,1,4,4
165,7,13,2,5,10
166,7,34,1,5,5
166,7,30,2,6,12
167,3,4,2,5,10
168,8,19,2,6,12
169,4,19,2,6,12
169,3,27,1,4,4
170,5,28,2,5,10
171,5,7,2,3,6
172,10,17,2,7,14
173,1,29,2,6,12
174,5,25,2,6,12
174,1,14,1,5,5
175,10,7,2,3,6
175,10,36,1,4,4
176,4,5,1,6,6
177,4,35,1,5,5
177,7,8,2,5,10
178,2,29,2,6,12
178,6,1,1,4,4
178,1,18,2,8,16
179,9,30,1,6,6
179,8,17,2,7,14
180,1,19,2,6,12
180,4,1,2,4,8
181,7,20,2,5,10
181,5,28,1,5,5
182,3,27,1,4,4
183,4,11,2,5,10
183,8,16,1,6,6
183,1,12,2,5,10
184,9,11,1,5,5
185,4,29,1,6,6
185,1,37,1,4,4
186,3,16,2,6,12
186,3,38,2,6,12
187,5,17,2,7,14
187,6,23,2,6,12
188,9,23,1,6,6
188,7,6,1,3,3
189,9,11,1,5,5
189,6,11,1,5,5
190,7,1,2,4,8
191,8,34,1,5,5
192,1,2,1,6,6
193,10,12,2,5,10
194,6,30,2,6,12
194,6,4,1,5,5
195,8,11,2,5,10
196,5,24,2,8,16
197,4,7,1,3,3
198,6,25,1,6,6
199,1,17,2,7,14
200,4,23,2,6,12
201,10,14,1,5,5
202,2,33,2,4,8
203,1,7,2,3,6
204,2,17,1,7,7
205,6,4,2,5,10
205,1,29,1,6,6
205,3,18,2,8,16
206,7,8,2,5,10
207,8,2,2,6,12
208,2,21,2,6,12
209,10,4,2,5,10
210,1,35,1,5,5
211,6,16,1,6,6
212,10,28,2,5,10
213,2,20,2,5,10
213,8,7,2,3,6
214,10,24,1,8,8
215,6,3,1,5,5
216,9,14,1,5,5
217,5,36,1,4,4
218,7,31,1,6,6
219,5,25,1,6,6
220,10,37,1,4,4
220,3,6,2,3,6
221,1,27,2,4,8
222,9,19,1,6,6
222,6,34,2,5,10
222,2,22,2,8,16
223,6,38,1,6,6
224,2,33,1,4,4
225,7,22,1,8,8
226,8,32,2,3,6
227,7,31,2,6,12
228,3,2,2,6,12
229,5,20,1,5,5
230,1,7,2,3,6
231,9,33,2,4,8
232,10,24,2,8,16
233,5,13,2,5,10
234,2,11,2,5,10
235,10,34,2,5,10
236,3,38,2,6,12
237,10,7,1,3,3
238,2,9,2,5,10
239,9,7,1,3,3
239,10,24,1,8,8
240,5,30,2,6,12
241,10,25,2,6,12
242,8,38,1,6,6
243,8,17,1,7,7
243,2,31,1,6,6
244,9,9,2,5,10
245,3,18,1,8,8
246,10,17,2,7,14
247,3,18,1,8,8
248,6,16,2,6,12
249,8,27,1,4,4
250,7,38,1,6,6
251,7,8,1,5,5
252,8,25,1,6,6
252,5,19,2,6,12
252,4,1,1,4,4
253,7,15,1,6,6
254,1,5,1,6,6
254,1,35,2,5,10
255,8,16,1,6,6
256,2,15,1,6,6
256,2,12,1,5,5
256,9,20,2,5,10
257,10,33,2,4,8
257,5,13,2,5,10
257,2,9,1,5,5
258,5,24,2,8,16
258,5,23,2,6,12
259,1,7,1,3,3
259,2,17,1,7,7
260,5,31,2,6,12
260,4,23,2,6,12
261,7,19,1,6,6
262,9,31,2,6,12
263,6,21,1,6,6
264,10,24,2,8,16
264,9,23,2,6,12
265,10,9,2,5,10
266,4,21,2,6,12
267,4,23,1,6,6
268,10,18,1,8,8
269,6,26,2,4,8
269,8,14,1,5,5
269,7,36,1,4,4
270,4,14,1,5,5
270,7,27,2,4,8
270,8,2,2,6,12
271,2,6,2,3,6
271,2,15,1,6,6
272,9,24,1,8,8
272,4,34,2,5,10
273,8,11,2,5,10
273,7,34,2,5,10
274,7,16,1,6,6
275,1,35,2,5,10
276,6,35,1,5,5
277,2,7,2,3,6
277,8,28,2,5,10
277,8,31,2,6,12
277,8,24,2,8,16
278,2,21,2,6,12
279,8,36,1,4,4
280,5,26,2,4,8
280,3,30,2,6,12
281,7,21,1,6,6
281,3,24,2,8,16
282,4,16,2,6,12
283,7,7,2,3,6
284,7,36,2,4,8
285,5,11,2,5,10
285,5,7,1,3,3
286,2,7,2,3,6
286,10,21,1,6,6
287,2,1,2,4,8
287,1,1,1,4,4
288,5,3,2,5,10
289,8,18,2,8,16
290,8,10,1,5,5
291,4,33,1,4,4
291,9,16,1,6,6
292,5,13,1,5,5
293,4,8,1,5,5
294,6,12,1,5,5
295,2,37,2,4,8
295,10,5,1,6,6
295,8,18,2,8,16
295,7,24,2,8,16
296,3,22,1,8,8
297,8,19,1,6,6
297,3,11,1,5,5
298,5,28,2,5,10
299,10,22,1,8,8
300,7,22,1,8,8
301,4,28,2,5,10
302,1,21,1,6,6
303,4,31,1,6,6
304,10,17,2,7,14
304,7,17,1,7,7
305,9,35,2,5,10
305,5,15,1,6,6
306,6,31,2,6,12
307,10,1,2,4,8
308,1,25,1,6,6
308,10,36,2,4,8
309,7,16,1,6,6
310,4,9,1,5,5
310,4,9,2,5,10
311,7,19,1,6,6
312,2,16,1,6,6
312,7,32,2,3,6
313,7,28,1,5,5
314,7,5,1,6,6
315,3,21,2,6,12
316,1,22,1,8,8
317,4,8,2,5,10
318,10,20,2,5,10
319,7,30,1,6,6
320,2,8,2,5,10
321,7,4,1,5,5
321,6,5,1,6,6
321,1,33,2,4,8
322,4,18,1,8,8
323,10,7,1,3,3
324,7,31,2,6,12
325,7,21,2,6,12
326,4,3,1,5,5
327,1,17,1,7,7
327,2,26,2,4,8
328,1,36,2,4,8
328,10,17,1,7,7
329,8,23,2,6,12
330,10,14,1,5,5
331,6,22,2,8,16
332,1,32,1,3,3
333,2,9,2,5,10
334,5,6,2,3,6
335,10,22,2,8,16
336,8,25,2,6,12
336,5,32,1,3,3
337,2,36,2,4,8
337,1,22,2,8,16
337,4,22,1,8,8
338,10,38,1,6,6
338,2,5,2,6,12
339,6,20,1,5,5
340,8,5,1,6,6
341,5,25,1,6,6
342,7,1,1,4,4
343,6,33,1,4,4
343,5,33,2,4,8
344,2,22,2,8,16
345,2,31,1,6,6
346,3,24,2,8,16
347,6,1,2,4,8
347,7,13,1,5,5
348,10,29,1,6,6
349,3,8,2,5,10
349,6,3,1,5,5
349,8,4,2,5,10
350,7,18,1,8,8
351,8,23,1,6,6
352,7,14,1,5,5
353,7,29,2,6,12
354,6,27,2,4,8
355,6,19,1,6,6
356,6,24,1,8,8
356,2,21,2,6,12
356,6,30,1,6,6
357,1,34,2,5,10
358,5,27,1,4,4
358,8,8,2,5,10
359,1,13,1,5,5
360,4,25,2,6,12
361,9,7,1,3,3
361,4,12,2,5,10
362,10,4,2,5,10
363,5,25,2,6,12
363,3,24,1,8,8
364,7,31,1,6,6
365,9,35,2,5,10
365,10,17,1,7,7
365,4,20,1,5,5
366,7,3,2,5,10
367,3,28,2,5,10
368,9,25,2,6,12
368,1,30,1,6,6
368,8,37,2,4,8
369,6,14,1,5,5
369,6,16,1,6,6
370,2,16,1,6,6
371,2,8,2,5,10
372,7,16,2,6,12
373,8,8,1,5,5
374,1,6,2,3,6
375,2,10,1,5,5
376,7,21,1,6,6
376,1,19,1,6,6
377,2,30,2,6,12
378,5,33,2,4,8
379,7,36,1,4,4
380,3,15,2,6,12
381,1,7,1,3,3
382,10,35,1,5,5
383,8,3,2,5,10
